[0] 0x0000    7.633   15.130    7.282:   122.06     1.16   -86.81 1627334607.6602
[1] 0x0000    7.537   16.910    7.000:   103.14     6.77    18.96 1627334607.6602
[0] 0x0000    7.633   15.130    7.282:   122.06     1.16   -86.81 1627334607.6644
[1] 0x0000    7.537   16.910    7.000:   103.14     6.77    18.96 1627334607.6644
[0] 0x0000    7.633   15.130    7.282:   122.06     1.16   -86.81 1627334607.6686
[1] 0x0000    7.537   16.910    7.000:   103.14     6.77    18.96 1627334607.6686
[0] 0x0000    7.633   15.130    7.282:   122.06     1.16   -86.81 1627334607.6727
[1] 0x0000    7.537   16.910    7.000:   103.14     6.77    18.96 1627334607.6727
[0] 0x0000    7.633   15.130    7.282:   122.06     1.16   -86.81 1627334607.6769
[1] 0x0000    7.537   16.910    7.000:   103.14     6.77    18.96 1627334607.6769
[0] 0x0000    7.633   15.130    7.282:   122.06     1.16   -86.81 1627334607.6811
[1] 0x0000    7.537   16.910    7.000:   103.14     6.77    18.96 1627334607.6811
[0] 0x0000    7.633   15.130    7.282:   122.06     1.16   -86.81 1627334607.6852
[1] 0x0000    7.537   16.910    7.000:   103.14     6.77    18.96 1627334607.6852
[0] 0x0000    7.633   15.130    7.282:   122.06     1.16   -86.81 1627334607.6894
[1] 0x0000    7.537   16.910    7.000:   103.14     6.77    18.96 1627334607.6894
[0] 0x0000    7.633   15.130    7.282:   122.06     1.16   -86.81 1627334607.6935
[1] 0x0000    7.537   16.910    7.000:   103.14     6.77    18.96 1627334607.6935
[0] 0x0000    7.633   15.130    7.282:   122.06     1.16   -86.81 1627334607.6977
[1] 0x0000    7.537   16.910    7.000:   103.14     6.77    18.96 1627334607.6977
[0] 0x0000    7.633   15.130    7.282:   122.06     1.16   -86.81 1627334607.7019
[1] 0x0000    7.537   16.910    7.000:   103.14     6.77    18.96 1627334607.7019
[0] 0x0000    7.633   15.130    7.282:   122.06     1.16   -86.81 1627334607.7060
[1] 0x0000    7.537   16.910    7.000:   103.14     6.77    18.96 1627334607.7060
[0] 0x0000    7.633   15.130    7.282:   122.06     1.16   -86.81 1627334607.7102
[1] 0x0000    7.537   16.910    7.000:   103.14     6.77    18.96 1627334607.7102
[0] 0x0000    7.633   15.130    7.282:   122.06     1.16   -86.81 1627334607.7144
[1] 0x0000    7.537   16.910    7.000:   103.14     6.77    18.96 1627334607.7144
[0] 0x0000    7.633   15.130    7.282:   122.06     1.16   -86.81 1627334607.7185
[1] 0x0000    7.537   16.910    7.000:   103.14     6.77    18.96 1627334607.7185
[0] 0x0000    7.633   15.130    7.282:   122.06     1.16   -86.81 1627334607.7227
[1] 0x0000    7.537   16.910    7.000:   103.14     6.77    18.96 1627334607.7227
[0] 0x0000    7.633   15.130    7.282:   122.06     1.16   -86.81 1627334607.7269
[1] 0x0000    7.537   16.910    7.000:   103.14     6.77    18.96 1627334607.7269
[0] 0x0000    7.633   15.130    7.277:   122.06     1.16   -86.81 1627334607.7310
[1] 0x0000    7.537   16.910    7.000:   103.14     6.77    18.96 1627334607.7310
[0] 0x0000    7.633   15.130    7.277:   122.06     1.16   -86.81 1627334607.7352
[1] 0x0000    7.537   16.910    7.000:   103.14     6.77    18.96 1627334607.7352
[0] 0x0000    7.633   15.130    7.277:   122.06     1.16   -86.81 1627334607.7394
